Game ID,Rental Date,Return Date,Customer ID
bla55,2025-11-10,2025-11-19,mnop
uno00,2025-11-20,2025-11-28,coab
for99,2025-11-21,2025-11-30,qrst
gta01,2025-11-25,2025-12-10,coab
tab12,2025-11-27,2025-12-05,qrst
asf08,2025-11-29,2025-12-06,mnop
che00,2025-11-29,2025-12-10,coab
eld15,2025-11-30,2025-12-15,uvwx
blk06,2025-12-01,2025-12-14,yzab
min15,2025-12-01,2025-12-12,mnop
cek71,2025-12-03,2025-12-14,efgh
eld14,2025-12-04,2025-12-18,coab
pok07,2025-12-04,2025-12-11,yzab
ter23,2025-12-03,2025-12-16,efgh
mon17,2025-12-05,2025-12-15,efgh
bbs33,2025-12-16,2025-12-27,uvwx
red02,2025-12-17,2025-12-28,mnop
mar00,2025-12-12,2025-12-20,yzab
con04,2025-12-11,2025-12-20,yzab
mon13,2026-01-18,2026-01-26,mnop
eld14,2026-01-13,2026-01-23,uvwx
sud05,2026-01-14,2026-01-21,uvwx
for18,2026-01-15,2026-01-27,efgh
pok07,2026-01-22,,qrst
snl01,2026-02-03,2026-02-10,qrst
mar00,2026-02-15,2026-02-25,efgh
uno00,2026-02-19,2026-02-26,efgh
eld15,2026-02-18,2026-03-04,coab
jur13,2026-02-24,2026-03-06,coab
cek71,2026-02-25,,uvwx
blk06,2026-02-27,2026-03-07,wxya
one02,2026-02-28,,efgh
for99,2026-02-16,2026-02-28,yzab
bbs33,2026-03-01,,mnop
red02,2026-03-01,,uvwx
gta01,2026-03-02,2026-03-11,efgh
sud05,2026-03-02,,efgh
asf08,2026-03-03,,qrst
con04,2026-03-05,2026-03-12,mnop
min15,2026-03-06,2026-03-21,qrst
bla55,2026-03-09,2026-03-14,coab
for18,2026-03-09,,mnop
tab12,2026-01-13,2026-01-20,yzab
snl01,2026-02-22,,coab
che00,2026-02-07,,qrst
ter23,2026-02-11,,mnop
mon17,2026-03-17,2026-03-25,coab
gta01,2026-03-18,2026-03-27,efgh
eld14,2026-03-21,2026-03-30,qrst
uno00,2026-03-22,2026-03-28,uvwx
min15,2026-03-23,,bcdx
